Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Job_Role
,,,,,6.71,Automobile Engineering,2,,Six Sigma,,,,,,,,,,Automotive Design Engineer
,,,,,6.22,Banking & Insurance,2,,AWS,,,,,,,,,,Relationship Manager
,,,,,9.57,Fashion Design,2,,C++,,,,,,,,,,Clinical Research Associate
,,,,,8.89,Statistics (M.Sc),0,,Scrum Master,,,,,,,,,,Senior Researcher
,,,,,8.33,Public Administration,2,,,,,,,,,,,,Public Relations Officer
,,,,,6.29,Travel & Tourism,1,,AutoCAD,,,,,,,,,,Relationship Manager
,,,,,8.54,Structural Engineering,1,,React,,,,,,,,,,R&D Engineer
,,,,,7.4,Healthcare Management (Advanced),2,,PMP,,,,,,,,,,Portfolio Manager
,,,,,7.56,Taxation,2,,Java,,,,,,,,,,Financial Auditor
,,,,,7.38,Psychology,0,,Google Analytics,,,,,,,,,,Dietician
,,,,,9.27,Chemical Engineering,1,,PMP,,,,,,,,,,Project Manager
,,,,,6.38,Microbiology,2,,AWS,,,,,,,,,,Registered Nurse
,,,,,6.94,Political Science,1,,AWS,,,,,,,,,,Policy Analyst
,,,,,9.15,Food Technology,1,,AWS,,,,,,,,,,Robotics Engineer
,,,,,7.75,Petroleum Engineering,1,,CFA,,,,,,,,,,Biomedical Engineer
,,,,,6.62,Communication Design,0,,,,,,,,,,,,Fashion Stylist
,,,,,6.12,Chemistry (M.Sc),1,,Java,,,,,,,,,,Statistician
,,,,,6.76,Biotechnology,1,,Photoshop,,,,,,,,,,Automotive Design Engineer
,,,,,8.9,Logistics & Supply Chain,2,,Photoshop,,,,,,,,,,Business Analyst
,,,,,8.16,Mechatronics Engineering,2,,React,,,,,,,,,,Biomedical Engineer
,,,,,6.7,UI/UX Design,2,,Six Sigma,,,,,,,,,,Fashion Stylist
,,,,,8.17,Environmental Engineering,1,,React,,,,,,,,,,Biomedical Engineer
,,,,,6.33,UI/UX Design,1,,,,,,,,,,,,Interior Architect
,,,,,8.82,Environmental Engineering (Masters),0,,Python,,,,,,,,,,R&D Engineer
,,,,,9.5,Machine Learning,0,,CPA,,,,,,,,,,R&D Engineer
,,,,,7.07,Data Science (Masters),2,,,,,,,,,,,,VLSI Architect
,,,,,8.78,Agriculture Engineering,2,,Scrum Master,,,,,,,,,,Robotics Engineer
,,,,,6.37,Political Science,2,,Java,,,,,,,,,,Social Worker
,,,,,8.07,Hospitality Management,2,,C++,,,,,,,,,,Retail Store Manager
